"skill_count","skills"
"25","python"
"15","sql"
"13","spark"
"9","tableau"
"9","aws"
"7","hadoop"
"7","tensorflow"
"7","r"
"6","sas"
"6","pytorch"
"5","scala"
"4","scikit-learn"
"4","azure"
"4","gcp"
"4","java"
"4","numpy"
"4","kubernetes"
"3","databricks"
"3","pandas"
"3","qlik"
"3","go"
"3","kafka"
"3","nosql"
"2","cassandra"
"2","bigquery"
"2","c"
"2","keras"
"2","looker"
"2","matlab"
"2","mongodb"
"2","oracle"
"2","pyspark"
"2","redshift"
"1","power bi"
"1","php"
"1","opencv"
"1","vba"
"1","javascript"
"1","html"
"1","gdpr"
"1","snowflake"
"1","excel"
"1","docker"
"1","datarobot"
"1","airflow"
"1","powerpoint"
