"skill_id","skills","optimal_coefficient","skill_count","avg_salary"
1,"python","125.56","7353","135591.64"
0,"sql","119.05","6340","133415.98"
76,"aws","100.55","3016","135685.63"
92,"spark","98.77","2533","139221.77"
5,"r","97.35","2832","133451.28"
74,"azure","88.00","2082","130272.83"
4,"java","86.93","1711","135156.72"
182,"tableau","85.00","1886","128980.48"
80,"snowflake","84.56","1385","138615.62"
3,"scala","84.18","1175","143775.66"
97,"hadoop","83.79","1441","135992.25"
98,"kafka","80.41","1010","142628.81"
2,"nosql","77.38","1062","135546.85"
96,"airflow","76.44","881","140304.47"
78,"redshift","76.29","903","139165.98"
99,"tensorflow","73.11","703","141989.13"
75,"databricks","72.80","967","130553.76"
101,"pytorch","71.95","611","144722.70"
8,"go","69.32","608","139606.83"
93,"pandas","68.93","640","137037.67"
210,"git","68.08","871","125318.50"
81,"gcp","68.02","715","131541.85"
181,"excel","67.03","858","123855.91"
213,"kubernetes","66.58","518","139561.84"
214,"docker","65.88","629","131549.65"
95,"pyspark","65.60","563","134664.39"
183,"power bi","65.32","902","119198.62"
56,"mysql","65.12","545","134784.91"
6,"shell","64.03","428","140778.49"
106,"scikit-learn","63.77","430","140032.96"
77,"bigquery","62.97","445","137103.41"
7,"sas","62.89","705","122051.91"
186,"sas","62.89","705","122051.91"
63,"cassandra","62.86","316","149089.76"
13,"c++","61.53","433","134875.03"
94,"numpy","61.39","398","137444.60"
26,"c","60.98","351","140878.87"
79,"oracle","60.93","670","119756.53"
215,"flow","60.03","463","129403.13"
185,"looker","60.01","323","141553.30"
61,"sql server","59.60","650","118042.63"
169,"linux","59.12","433","129598.89"
24,"mongo","58.98","126","176054.58"
233,"jira","55.34","312","131663.37"
216,"github","55.13","389","124147.06"
18,"mongodb","54.81","321","129486.82"
62,"mongodb","54.81","321","129486.82"
211,"jenkins","54.73","328","128600.69"
57,"postgresql","54.61","352","126075.97"
100,"keras","53.79","260","133964.97"
9,"javascript","53.77","394","120682.67"
212,"terraform","53.76","263","133484.87"
15,"matlab","52.29","305","125123.06"
108,"matplotlib","51.48","257","128567.40"
102,"jupyter","51.35","222","133018.16"
141,"express","50.64","158","142845.56"
14,"c#","50.46","291","122182.78"
188,"word","49.98","283","121847.01"
59,"elasticsearch","48.92","190","131767.07"
194,"ssis","48.44","322","114340.73"
168,"unix","47.19","231","121044.78"
196,"powerpoint","46.66","217","121562.04"
64,"dynamodb","46.08","132","135949.84"
189,"sap","45.54","194","122035.93"
187,"qlik","45.06","172","124436.67"
12,"bash","44.12","156","124843.67"
58,"neo4j","43.90","80","146794.11"
170,"windows","43.88","171","121349.60"
31,"perl","43.18","97","137591.01"
154,"node","42.33","38","170505.04"
199,"spss","42.22","171","116742.03"
201,"alteryx","42.12","157","118985.53"
120,"seaborn","41.99","100","132785.94"
193,"splunk","41.95","99","132976.07"
144,"ruby","41.61","87","136234.20"
30,"ruby","41.61","87","136234.20"
220,"gitlab","41.22","114","126161.89"
234,"confluence","41.15","107","127957.89"
112,"plotly","40.72","108","126312.07"
104,"spring","40.28","125","120464.12"
191,"microstrategy","39.81","71","137161.26"
110,"react","39.63","99","125630.86"
105,"gdpr","39.52","59","142586.60"
16,"t-sql","39.39","129","116876.08"
219,"atlassian","39.38","56","143958.42"
218,"bitbucket","39.26","78","132110.42"
83,"aurora","39.23","84","129587.46"
10,"html","39.03","130","115581.66"
29,"julia","39.02","75","132582.37"
115,"ggplot2","38.57","80","128966.25"
197,"ssrs","38.47","128","114367.53"
28,"no-sql","38.43","62","136952.05"
27,"golang","38.22","54","140974.76"
20,"powershell","37.86","110","116900.99"
67,"db2","37.48","85","123450.10"
25,"php","37.12","60","133383.56"
137,"phoenix","37.05","85","122011.77"
142,"flask","36.88","77","124500.15"
55,"redis","36.84","56","134670.61"
103,"nltk","36.53","62","130194.26"
136,"angular","36.07","58","130696.43"
139,"django","35.97","67","125733.45"
17,"typescript","35.82","54","132129.32"
223,"ansible","35.71","73","122168.72"
237,"asana","35.10","12","188609.92"
22,"vba","34.93","91","113085.65"
11,"css","34.93","68","121655.77"
107,"tidyverse","34.73","44","134840.26"
84,"ibm cloud","34.68","48","131765.54"
122,"opencv","34.64","42","136056.84"
248,"zoom","34.62","34","143361.79"
111,"rshiny","34.28","20","162095.78"
85,"watson","34.26","18","166330.78"
118,"theano","34.24","25","153133.41"
247,"slack","34.22","32","143857.41"
195,"sharepoint","33.82","83","112032.75"
184,"dax","33.34","49","126000.64"
121,"hugging face","32.81","19","157137.84"
119,"dplyr","32.62","16","163111.06"
198,"outlook","32.61","55","119737.59"
145,"node.js","32.36","36","132114.05"
39,"rust","32.20","31","136483.55"
226,"terminal","32.16","37","130382.92"
116,"graphql","31.72","33","132336.30"
19,"kotlin","31.35","34","129843.57"
32,"assembly","31.16","32","131029.53"
232,"airtable","31.04","10","174550.00"
143,"fastapi","30.68","27","134609.67"
109,"mxnet","30.60","23","139744.96"
190,"spreadsheet","30.56","40","121534.15"
252,"unify","30.22","36","123369.07"
